S,E,I,Q_E,Q_I,R,F
23902097319.957024,56197.14709829434,58026.486249175054,2866.619917848364,28431.708947067804,70344.75221312825,7290.969313392005
26372498257.331078,56511.462537026986,58417.690971547316,2817.8251427399855,28162.601812986886,71147.48347100502,7366.501255877733
29104109818.303505,56829.181463524445,58810.30825986277,2770.0479337652873,27895.77143982306,71950.74613189751,7442.141487186571
32122951125.701256,57150.26751773104,59204.388764218085,2723.2683526189885,27631.211035719763,72754.57599902785,7517.893176926683
35456684281.91701,57474.68581475677,59599.982216791774,2677.466851850126,27368.913533238207,73559.00916308557,7593.759522809758
39134614368.90892,57802.40294487731,59997.13743184423,2632.6242748620593,27108.871589357397,74364.08200222767,7669.743750651014
43187689448.20102,58133.38697353399,60395.90230571773,2588.721855912463,26851.07758547412,75169.83118207865,7745.849114369203
47648500560.88299,58467.60744133382,60796.32381683642,2545.7412201133316,26595.52362740294,75976.29365573045,7822.0788959865995
52578826497.900734,58805.041391136976,61198.443739957576,2503.6642222635865,26342.20156463216,76783.5080029149,7898.436519675552
58033361981.978424,59145.67416618017,61602.297990012696,2462.4734395814257,26091.102381700457,77591.51462993708,7974.925568997252
64040872783.00185,59489.48887789818,62007.92417443496,2422.152099428688,25842.216580828528,78400.3534204035,8051.549586697941
70642424095.21954,59836.46934450162,62415.35955797133,2382.6836895355054,25595.534559713178,79210.064376735,8128.312129216765
77891392476.15596,60186.60009267105,62824.6410614873,2344.051957901921,25351.046611595637,80020.6876205411,8205.216766717645
85853465846.61108,60539.86635755689,63235.805261966816,2306.2409127978904,25108.742925261577,80832.26339262,8282.26708308927
94606643490.66049,60896.25408277949,63648.888392512315,2269.234822763283,24868.613585041105,81644.83205295858,8359.4666759451
104241236055.65558,61255.74992042906,64063.92634234471,2233.018216607879,24630.64857080876,82458.43408073239,8436.819156623364
114859865552.22281,61618.34123106569,64480.954656803406,2197.575883411374,24394.83775798353,83273.1100743056,8514.328150187059
